 	X	Y
785	16.524889	2382.264
786	17.130468	2383.0828
787	17.534365	2379.787
788	18.140596	2376.501
789	18.54515	2375.389
790	18.950064	2373.3574
791	19.558167	2369.8977
792	19.965435	2366.1318
793	20.373978	2353.4373
794	20.986721	2334.7976
795	21.395178	2322.4993
796	21.803606	2310.3025
797	22.416197	2292.1997
798	22.824554	2280.26
799	23.232882	2268.4243
800	23.845316	2250.8657
801	24.253569	2239.2905
802	24.865887	2222.1235
803	25.274063	2210.8093
804	25.682215	2199.599
805	26.294397	2182.992
806	26.7025	2172.0398
807	27.110594	2161.1904
808	27.72274	2145.1077
809	28.130852	2134.513
810	28.538979	2124.0188
811	29.151213	2108.4648
812	29.559402	2098.2197
813	29.96762	2088.073
814	30.579992	2073.0361
815	30.988266	2063.1333
816	31.396547	2053.327
817	32.008972	2038.7971
818	32.41725	2029.2295
819	33.02966	2015.0547
820	33.437923	2005.7213
821	33.846176	1996.4803
822	34.458557	1982.7892
823	34.866817	1973.7747
824	35.275093	1964.849
825	35.887543	1951.6249
826	36.295876	1942.9172
827	36.70424	1934.295
828	37.316845	1921.5203
829	37.7253	1913.1079
830	38.1338	1904.7778
831	38.746628	1892.4354
832	39.15523	1884.3075
833	39.563877	1876.2592
834	40.176914	1864.3337
835	40.585644	1856.4806
836	41.198788	1844.8445
837	41.60758	1837.1818
838	42.0164	1829.5938
839	42.62446	1818.4458
840	43.02933	1811.1125
841	43.43388	1803.856
842	44.040268	1793.0641
843	44.444344	1785.9646
844	44.848335	1778.9381
845	45.454304	1768.5322
846	45.858284	1761.6826
847	46.464306	1751.5364
848	46.868374	1744.8561
849	47.272484	1738.2418
850	47.87875	1728.4424
851	48.28304	1721.9886
852	48.68749	1715.5962
853	49.2946	1706.1187
854	49.699707	1699.8724
855	50.30797	1690.6085
856	50.713844	1684.5026
857	51.119934	1678.453
858	51.729385	1669.4843
859	52.135857	1663.575
860	52.542473	1657.7208
861	53.152752	1649.0402
862	53.559963	1643.3175
863	53.970825	1637.5986
864	54.58723	1629.1228
865	54.998234	1623.5392
866	55.61481	1615.263
867	56.0259	1609.8108
868	56.437004	1604.4103
869	57.05367	1596.4053
870	57.46478	1591.1316
871	57.875877	1585.9078
872	58.492504	1578.1644
